word,wordType,pronunciation,meaning,example
accommodate,verb,/ə'kɔmədeit/,"điều tiết, điều chỉnh, thu xếp, làm cho phù hợp",New students may be accommodated in halls of residence.
arrangement,noun,/ə'reindʤmənt/,"‹sự› thu xếp, dàn xếp, sắp xếp, sắp đặt",They'd made all the arrangements for the party.
association,noun,"/ə,sousi'eiʃn/","hội, hội liên hiệp, đoàn thể; ‹sự› kết hợp, liên kết, liên hợp",The Football Association
attend,verb,/ə'tend/,"tham dự, có mặt; chăm sóc, phục vụ; đi theo, đi kèm, hộ tống",Over two hundred people attended the funeral.
get in touch,verb,,"liên lạc với, tiếp xúc với, giữ quan hệ với, có dính líu đến",That paint is wet - don't touch (it).
hold,verb,/hould/,"cầm, nắm, giữ; chứa, đựng; tổ chức, tiến hành",Can you hold the bag while I open the door?
location,noun,/lou'keiʃn/,"vị trí, khu đất, hiện trường",The hotel is in a beautiful location overlooking the lake.
overcrowded,adj,/əʊvəˈkraʊdɪd/,"chật ních, đông nghịt",overcrowded cities/prisons/schools
register,"noun, verb",/'redʤistə/,"(n) danh sách, sổ, sổ sách, (v) đăng ký",I registered the car in my name.
select,verb,/si'lekt/,"chọn lựa, tuyển chọn","There was a choice of four prizes, and the winner could select one of them."
session,noun,/'seʃn/,"phiên, kỳ, buổi (họp, học)",The parliamentary session is due to end on 27 May.
take part in,verb,,"tham dự, tham gia",Has anything been taken (= stolen)?
