word,wordType,pronunciation,meaning,example
disk,noun,/disk/,"đĩa (vi tính, thể thao, đĩa hát...)",Put the disk into the drive.
facilitate,verb,/fə'siliteit/,"làm cho dễ dàng, làm cho thuận tiện",The new ramp will facilitate the entry of wheelchairs.
network,"verb, noun",/'netwə:k/,"(v) kết nối, liên kết; (n) mạng lưới, hệ thống",a television network
popularity,noun,"/,pɔpju'læriti/","‹tính/sự› đại chúng, phổ biến, nổi tiếng, được yêu mến",the increasing popularity of organic food
process,"verb, noun",/ˈprəʊses/,"(v) xử lý, (n) quá trình",the peace process
replace,verb,/ri'pleis/,thay thế; đặt vào lại chỗ cũ,The factory replaced most of its workers with robots.
revolution,noun,"/,revə'lu:ʃn/","vòng, tua, sự xoay vòng; cuộc cách mạng",The French Revolution changed France from a monarchy to a republic.
sharp,adj,/ʃɑ:p/,"sắc nét; thông minh, láu lỉnh; thình lình, đột ngột",a knife with a sharp edge/blade.
skill,noun,/skil/,"kỹ năng, kỹ xảo; sự khéo léo, sự tinh xảo",Ruth had/possessed great writing skills.
software,noun,/ˈsɒftweə(r)/,"phần mềm, chương trình máy tính",He's written a piece of software that does your taxes for you.
store,verb,/stɔ:/,lưu trữ,a department store
technically,adverb,/ˈteknɪkli/,về mặt kỹ thuật,"Technically, the country's economic problems are over, but recovery will be slow."
