word,wordType,pronunciation,meaning,example
basis,noun,/'beisis/,nền tảng,This document will form the basis for our discussion.
benefit,"verb,noun",/'benifit/,"(n) chế độ đãi ngộ, (v) được lợi",The discovery of oil brought many benefits to the town.
compensate,verb,/'kɔmpenseit/,bồi thường,Victims of the crash will be compensated for their injuries.
delicately,adverb,/ˈdelɪkət/,"thận trọng, lịch thiệp",Some goods need to be handled delicately.
eligible,adj,/i'liminəbl/,thích hợp,Are you eligible for early retirement/maternity leave?
flexibly,adverb,/ˈfleksəbl/,linh hoạt,Today's schedule of events is organized flexibly so that people can decide for themselves what they want to do.
negotiate,verb,/ni'gouʃieit/,thương lượng,The government has refused to negotiate with the strikers.
raise,"noun, verb",/reiz/,"(n) sự tăng lên, (v) nâng lên",Would all those in favor please raise their hands?
retire,verb,/ri'taiə/,nghỉ hưu,"Since retiring from the company, she has done voluntary work for a charity."
vested,adj,/'vestid/,được bảo đảm,He chose to receive his vested benefits in a single lump-sum payment.
wage,noun,/weidʤ/,tiền công,a very low/high wage
be aware of,verb,,"am hiểu, nhận biết",Be aware of the strangers in your house.
