word,wordType,pronunciation,meaning,example
accurately,adverb,/ˈækjərət/,một cách chính xác,The plans should be drawn as accurately as possible.
carrier,noun,/'kæriə/,người/vật/hãng/công ty› vận chuyển,an armored troop-carrier
fulfill,verb,/ful'fil/,thực hiện,A school fails if it does not fulfill the needs/requirements of its students.
catalog,"verb, noun",/ˈkat(ə)lɒg/,"bản liệt kê, quyển danh mục",a mail-order catalog
integral,adj,/'intigrəl/,tính toàn bộ,He's an integral part of the team and we can't do without him.
inventory,noun,/in'ventri/,sự kiểm kê,A set of 24 gilded chairs appear on the inventory of the house for 1736.
minimize,verb,/'minimaiz/,giảm thiểu,We must minimize the risk of infection.
on hand,adj,,có sẵn,"A 1,200-strong military force will be on hand to monitor the ceasefire."
remember,verb,/ri'membə/,ghi nhớ,"Where did you park the car? ""I can't remember."""
ship,verb,/ʃip/,vận chuyển,Please ship the goods.
sufficiently,adverb,/səˈfɪʃnt/,có đủ,McGeechan has not recovered sufficiently to play in the semifinals tomorrow.
supply,"verb,noun",/sə'plai/,"(n) ‹sự/đồ/nguồn/_› cung cấp, (v) cung cấp",Electrical power is supplied by underground cables.
