word,wordType,pronunciation,meaning,example
accept,verb,/ək'sept/,"nhận, chấp nhận",Do you accept credit cards?
balance,"noun, verb",/'bæləns/,"(n)sự cân bằng, (v) quyết toán",The toddler wobbled and lost his balance (= started to fall sideways).
borrow,verb,/'bɔrou/,"vay, mượn",I had to borrow a pen from the invigilator to do the exam.
cautiously,adverb,/ˈkɔːʃəsli/,"thận trọng, cẩn thận",He moved slowly and cautiously along the dark rocky path.
deduct,verb,/di'dʌkt/,"lấy đi, trừ đi, khấu trừ",The player had points deducted (from his score) for arguing with the referee.
dividend,noun,/'dividend/,tiền lãi cổ phần,Dividends will be sent to shareholders.
down payment,noun,,phần tiền trả trước ban đầu,I made/put a down payment on a new smart TV.
mortgage,"noun, verb",/ˈmɔːɡɪdʒ/,"(n) sự cầm cố, sự thế chấp, (v) cấm cố, thế chấp","They took out a £40o,000 mortgage (= they borrowed £40o,000) to buy the house."
restricted,adj,/ris'triktid/,"bị hạn chế, bị giới hạn",Building in this area of town is restricted.
take out,verb,,rút (tiền),They had to take out two of his teeth.
transaction,noun,/træn'zækʃn/,sự giao dịch,a business transaction
