word,wordType,pronunciation,meaning,example
calculation,noun,"/,kælkju'leiʃn/",‹sự› dự tính,The calculations that you did/made contained a few inaccuracies.
deadline,noun,/ˈdedlaɪn/,thời hạn chót,There's no way I can meet that deadline.
file,verb,/fail/,"sắp xếp, sắp đặt",a box/envelope file
fill out,verb,,"hoàn tất, hoàn thành","When John is older and fills out some, he'll be an outstanding athlete."
give up,verb,,từ bỏ; tạm dừng,You'll never guess the answer - do you give up?
joint,adj,/dʒɔint/,"chung, cùng",a joint bank account
owe,verb,/ou/,"nợ, mắc nợ; mang ơn",[ + two objects ] I owe Janet $50.
penalty,noun,/'penlti/,khoản tiền phạt,The law carries a penalty of up to three years in prison.
preparation,noun,"/,prepə'reiʃn/","‹sự› chuẩn bị, sửa soạn",The teacher didn't seem to have done much preparation for the class.
refund,"noun, verb",/ri:'fʌnd/,"(n) sự trả lại tiền, (v) trả lại, hoàn lại tiền",I took the radio back to the shop and asked for/demanded/got/was given a refund.
spouse,noun,/spauz/,"Chồng, vợ",In 60 percent of the households surveyed both spouses went out to work.
withhold,verb,/wi 'hould/,"cố nín, kìm lại",to withhold information/support
