word,wordType,pronunciation,meaning,example
accustom to,noun,,"làm cho quen, tập cho quen",It'll take time for me to accustom myself to the changes.
apprentice,noun,/ə'prentis/,người học việc,Most of the work was done by apprentices.
culinary,adj,/'kʌlinəri/,(thuộc) nấu nướng,the culinary delights(= good food) of Beijing
demand,"verb, noun",/dɪˈmɑːnd/,"đòi hỏi, yêu cầu",I demanded an explanation.
draw,verb,/drɔ:/,"vẽ, vạch, thảo ra",Jonathan can draw very well.
incorporate,verb,/in'kɔ:pərit/,kết hợp chặt chẽ,Suggestions from the survey have been incorporated into/in the final design.
influx,noun,/'inflʌks/,"sự chảy vào, sự tràn vào",Because of the influx of immigrants from Russia.
method,noun,/'meθəd/,"phương pháp, cách thức",Traveling by train is still one of the safest methods of transport.
outlet,noun,/'autlet/,"chỗ thoát ra, lối ra, lối thoát",a wastewater outlet
profession,noun,/profession/,"nghề, nghề nghiệp",He left the teaching profession in 1965 to start his own business.
relinquish,verb,/ri'liɳkwiʃ/,"bỏ, từ bỏ; buông, thả",He has relinquished his claim to the throne.
theme,noun,/θi:m/,"chủ đề, đề tài",The theme of loss runs through most of his novels.
