word,wordType,pronunciation,meaning,example
annually,adverb,/'ænjuəli/,hàng năm,"Your starting salary is £23,000 per annum and will be reviewed annually."
appointment,noun,/ə'pɔintmənt/,cuộc hẹn,"I'd like to make an appointment with Dr. Evans, please."
assess,verb,/ə'ses/,định giá,The insurers will need to assess the flood damage.
diagnose,verb,/'daiəgnouz/,chẩn đoán,The specialist diagnosed cancer.
effective,adj,/ɪˈfektɪv/,"‹có› kết quả, tác dụng",It's an extremely effective cure for a headache.
instrument,noun,/'instrumənt/,"dụng cụ, công cụ",Which instrument do you play?
manage,verb,/'mænidʤ/,"quản lý, trông nom",[ + to-infinitive ] Did you manage to get any bread?
prevent,verb,/pri'vent/,"ngăn ngừa, ngăn chặn",Label your suitcases to prevent confusion.
recommendation,noun,"/,rekəmen'deiʃn/","sự› giới thiệu, tiến cử",I bought this computer on John's recommendation (= because John told me that it was good).
record,noun,/'rekɔ:d/,"hồ sơ, sổ sách",Cliff Richard has recorded more number one hit songs than any other British popstar.
refer,verb,/ri'fə:/,"quy vào, quy cho",Taxpayers should refer to the chart listing deductions next to incomes.
serious,adj,/'siəriəs/,nghiêm trọng,a serious illness
