word,wordType,pronunciation,meaning,example
allow,verb,/ə'lau/,cho phép; để cho,[ + to-infinitive ] Do you think Dad will allow you to go to Jamie's party?
alternative,adj,/ɔ:l'tə:nətiv/,"xen kẽ, thay phiên",The opposition parties have so far failed to set out an alternative strategy.
aspect,noun,/'æspekt/,"vẻ, bề ngoài; diện mạo",Which aspects of the job do you most enjoy?
concern,noun,/kən'sə:n/,"liên quan, dính líu",The state of my father's health concerns us greatly.
emphasize,verb,/ˈɛmfəˌsaɪz/,"nhấn mạnh, làm nổi bật",[ + question word ] I'd just like to emphasize how important it is for people to learn foreign languages.
incur,verb,/in'kə:/,"chịu, gánh, mắc, bị",to incur debts/fines/bills
personnel,noun,"/,pə:sə'nel/","cán bộ, nhân viên",The new director is likely to make major changes in personnel.
policy,noun,/'pɔlisi/,"chính sách, đường lối",They believe that Europe needs a common foreign and security policy.
portion,noun,/'pɔ:ʃn/,"phần, phần chia",A large/major portion of the company's profit goes straight back into new projects.
regardless,adverb,/ri'gɑ:dlis/,không quan tâm,The plan for a new office building went ahead regardless of local opposition.
salary,noun,/ˈsæləri/,tiền lương,"an annual salary of £40,000"
suit,verb,/sju:t/,làm cho phù hợp,All the businessmen were wearing pinstripe suits.
