word,wordType,pronunciation,meaning,example
consult,verb,/kən'sʌlt/,"hỏi ý kiến, tham khảo","If the symptoms get worse, consult your doctor."
control,verb,/kən'troul/,"kiểm tra, kiểm soát","If you can't control your dog, put it on a lead!"
convenient,adj,/kən'vi:njənt/,"thuận lợi, thuận tiện",Our local shop has very convenient opening hours.
detect,verb,/di'tekt/,"dò ra, tìm ra",Some sounds cannot be detected by the human ear.
factor,noun,/'fæktə/,"nhân tố, yếu tố","People's voting habits are influenced by political, social and economic factors."
interaction,noun,"/,intər'ækʃn/","‹sự› tương tác, ảnh hưởng lẫn nhau",There's not enough interaction between the management and the workers.
limit,noun,/'limit/,"giới hạn, hạn định, ranh giới",Is there a limit on the amount of money you can claim?
monitor,verb,/'mɔnitə/,"màn hình vi tính, lớp trưởng",UnitedNations monitors were not allowed to enter the area.
potential,adj,/pə'tenʃəl/,"tiềm tàng, tiềm năng",A number of potential buyers have expressed interest in the company.
sample,noun,/ˈsæmpl/,"mẫu, hàng mẫu",a free sample of shampoo
sense,noun,/sens/,"giác quan, cảm giác","With her excellent sense of smell, she could tell if you were a smoker from the other side of the room."
volunteer,noun,"/,vɔlən'tiə/",tình nguyện viên,The Health Clinic is relying on volunteers to run the office and answer the phones.
