word,wordType,pronunciation,meaning,example
actor,,/æktə/,diễn viên nam,
actress,,/æktris/,diễn viên nữ,
artist,,/ɑ:tist/,nghệ sĩ,
businessman,,/biznismən/,doanh nhân,
doctor,,/dɔktə/,bác sĩ,
nurse,,/nə:s/,y tá,
dentist,,/dentist/,nha sĩ,
farmer,,/fɑ:mə/,nông dân,
guide,,/gaid/,hướng dẫn viên (du lịch),
manager,,/mænidʒə/,"quản lý, giám đốc",
photographer,,/fə'tɔgrəfə/,nhiếp ảnh gia,
pilot,,/pailət/,phi công,
policeman,,/pə'li:smən/,cảnh sát,
secretary,,/sekrətri/,thư ký,
singer,,/siηə/,ca sĩ,
teacher,,/ti:t∫ə/,giáo viên,
worker,,/wə:kə/,công nhân,
