word,wordType,pronunciation,meaning,example
arrive,verb,[ə'raiv],tới (một nơi),I arrive in Guatemala on The Day of the Dead
curious,adj,['kjuəriəs],"tò mò, hiếu kỳ, thọc mạch",I’m curious about this holiday
cemetery,noun,['semitri],"nghĩa trang, nghĩa địa","I’m curious about this holiday, so I go to the cemetery to see what’s happening."
atmosphere,noun,['ætməsfiə],không khí,The atmosphere is like a party. There are people everywhere
grave,noun,[gra:v],"mồ, mả, phần mộ",Families are sitting around the graves of their dead ancestors
ancestor,noun,['ænsistə],"ông bà, tổ tiên",Families are sitting around the graves of their dead ancestors
admire,verb,[əd'maiə],ngắm nhìn một cách vui thích,I walk through the cemetery and admire the beauty of all the colorful flowers.
kite,noun,[kait],cái diều,"There is also color in the sky, because many kids are flying kites"
somber,adj,['sɔmbə],u sầu,"In the Unites States, cemeteries are always somber. We certainly never have festivals or parties next to graves."
approach,noun,[ə'prout∫],tiếp cận,I find that I prefer the Guatemalan approach
appreciate,verb,[ə'pri:∫ieit],"đánh giá đúng, đánh giá cao, hiểu rõ giá trị","Guatemalans call it “The Day of the Dead”, but it is also a day to appreciate life."
acknowledge,verb,[ək'nɔlidʒ],chấp nhận sự thật của cái gì; thừa nhận cái gì,"I like that they acknowledge death, instead of denying it the way Americans do"
