word,wordType,pronunciation,meaning,example
Crying,verb,/ˈkraɪɪŋ/,Khóc,"What’s wrong, Susan? You look miserable. Are you crying?"
Terrible,adjective,/ˈterəbl/,Đau khổ,I have something terrible to tell you: I broke my iPhone.
Empty,adjective,/ˈempti/,Trống rỗng,"No, Sarah, I feel empty inside! And my contact list is empty, too."
Trendy,adjective,/ˈtrendi/,Sành điệu,"If I buy a cheap phone, I won’t be as trendy."
Surprised,adjective,/sərˈpraɪzd/,Ngạc nhiên,I’m surprised that you’re worried about looking fashionable.
Fashionable,adjective,/ˈfæʃnəbl/,Hợp thời trang,I’m surprised that you’re worried about looking fashionable.
Orchestra,noun,/ˈɔːrkɪstrə/,Dàn nhạc giao hưởng,This makes playing in the orchestra especially difficult.
Personal,adjective,/ˈpɜːrsənl/,Cá nhân,…but as long as everyone is doing their personal best for the sake of the music…
Music,noun,/ˈmjuːzɪk/,Âm nhạc,…but as long as everyone is doing their personal best for the sake of the music…
Personalities,noun,/ˌpɜːrsəˈnælətiz/,Cá tính,…personalities can blend as beautifully and as naturally as the sounds of the instruments.
Sounds,noun,/saʊndz/,Âm thanh,….personalities can blend as beautifully and as naturally as the sounds of the instruments.
Instruments,noun,/ˈɪnstrəmənts/,Những nhạc cụ,…personalities can blend as beautifully and as naturally as the sounds of the instruments.
Violin,noun,/ˌvaɪəˈlɪn/,Vĩ cầm,"Mick, for instance, plays first violin, which totally fits his personality."
Decisive,adjective,/dɪˈsaɪsɪv/,Quyết đoán,"He’s extremely decisive and a little abrasive at times, but he’s a perfectionist."
Abrasive,adjective,/əˈbreɪsɪv/,Thô ráp,"He’s extremely decisive and a little abrasive at times, but he’s a perfectionist."
Perfectionist,noun,/pərˈfekʃənɪst/,Người cầu toàn,"He’s extremely decisive and a little abrasive at times, but he’s a perfectionist."
Percussionists,noun,/pərˈkʌʃənɪsts/,Những người chơi trống,Tommy is one of the best percussionists I’ve ever heard.
Stubborn,adjective,/ˈstʌbərn/,Cứng đầu,…but he is super stubborn and his inflexibility can be super annoying.
Inflexibility,adjective,/ɪnˌfleksəˈbɪləti/,Cứng nhắc,…but he is super stubborn and his inflexibility can be super annoying.
Annoying,adjective,/əˈnɔɪɪŋ/,Khó chịu,…but he is super stubborn and his inflexibility can be super annoying.
Rhythm,noun,/ˈrɪðəm/,Nhịp điệu,…because music is so precise in rhythm and timing.
Timing,noun,/ˈtaɪmɪŋ/,Thời gian,…because music is so precise in rhythm and timing.
Trombone,noun,/trɑːmˈbəʊn/,Chiếc kèn trombon,"Like the slide of his trombone, he’s even–tempered and easy going, making everyone laugh when things get intense."
Intense,adjective,/ɪnˈtens/,Căng thẳng,…making everyone laugh when things get intense.
Emotional,adjective,/ɪˈməʊʃənl/,Tình cảm,She’s like an emotional mind reader.
Sense,noun,/sens/,Cảm thấy,…she can sense our moods when we walk into the room.
Moods,noun,/muːdz/,Những tâm trạng,…she can sense our moods when we walk into the room.
Sensitive,adjective,/ˈsensətɪv/,Nhạy cảm,"She’s also incredibly sensitive, like me."
Agitated,adjective,/ˈædʒɪteɪtɪd/,Tức giận,"One day, she sensed I was agitated."
Encouraged,verb,/ɪnˈkɜːrɪdʒd/,Khuyến khích,She picked up on it right away and encouraged me not to take things so personally.
Ego,noun,/ˈiːɡəʊ/,Cái tôi,"It’s about the music, get your ego out of the way and put your feelings into the music, the rest will take care of itself."
Feelings,noun,/ˈfiːlɪŋz/,Những cảm xúc,"It’s about the music, get your ego out of the way and put your feelings into the music, the rest will take care of itself."
Depression,noun,/dɪˈpreʃn/,Trầm cảm,Some researchers have coined the term “social media depression”.
Jealousy,noun,/ˈdʒeləsi/,Ghen tị,…to describe the feelings of jealousy and guilt.
Guilt,noun,/ɡɪlt/,Tội lỗi,…to describe the feelings of jealousy and guilt.
Jealous,adjective,/ˈdʒeləs/,Ghen tị,"Instead of feeling more connected to people, we feel jealous and inadequate."
Inadequate,adjective,/ɪnˈædɪkwət/,Thiếu thốn,"Instead of feeling more connected to people, we feel jealous and inadequate."
Unrealistic,adjective,/ˌʌnriːəˈlɪstɪk/,Không thực tế,It creates unrealistic expectations that lead to feelings of depression…
Disconnecting,verb,/ˌdɪskəˈnektɪŋ/,Ngừng kết nối,…which then leads us to disconnecting and isolating more.
Isolating,verb,/ˈaɪsəleɪtɪŋ/,Cô lập,…which then leads us to disconnecting and isolating more.
Negative,adjective,/ˈneɡətɪv/,Tiêu cực,"The key to overcoming this negative evolving state of mind is to trust that you are good enough and perfect, just the way you are."
Perfect,adjective,/ˈpɜːrfɪkt/,Hoàn hảo,"The key to overcoming this negative evolving state of mind is to trust that you are good enough and perfect, just the way you are."
