word,wordType,pronunciation,meaning,example
Cheque,noun,\tʃek\,séc,I wrote him a cheque for £50.
Cheque book,noun,,sổ séc,The new manager was given an open cheque to sign new players.
Interest,noun,\ˈɪn.trəst\,tiền lãi suất,I've always had an interest in astronomy.
Transfer money,verb,,chuyển tiền,
a statement,verb,,bản sao kê tiền,
balance,noun,\ˈbæl.\,số dư tài khoản,The toddler wobbled and lost his balance (= started to fall sideways).
internet banking,noun,\ˌɪn.tə.net ˈbæŋ.kɪŋ\,dịch vụ ngân hàng qua internet,Internet Banking is much cheaper than the traditional bricks and mortar version.
take out/withdraw,verb,,rút tiền,
cash machines,noun,\ˈkæʃ məˌʃiːn\,Máy rút tiền tự động,There is to be an increase in charges for withdrawals at cash machines.
credit card,noun,\ˈkred.ɪt ˌkɑːd\,thẻ tín dụng,accept/take credit cards
limit,noun,\ˈlɪm.ɪt\,giới hạn tiền được dùng,Is there a limit on the amount of money you can claim?
