question,answers
Hello. How are you?,Great.
Hello. How are you?,"Hi, how are things? "
Hello. How are you?,"Hey, how are you?"
Hello. How are you?,What’s up?
Hello. How are you?,How’s it going?
What’s your name?,My name’s + [name]
What’s your name?,I’m + [name]
What’s your name?,My name’s + [name] but you can call me + [nick-name]
Where are you from?,I come from + [country]
Where are you from?,"I was born in + [place], and have lived here my whole/entire life."
Where do you live?,I live in/ on/ at + [place]
Where do you live?,Do you know + [place]? I live around there.
Where do you live?,Near + [place]
How long have you been living there?,I’ve been living here for + [number] years.
How long have you been living there?,I’ve been living here since I was born.
How long have you been living there?,I moved to + [place] when I was + [number] years old.
Who do you live with?,I live with my family / parents / friends.
Who do you live with?,I live alone [by myself] in a rented room / apartment / house.
Who do you live with?,[someone] + I live together.
What do you do?,I’m a/an + job.
What do you do?,I work for + [company]/ work at + [place].
What do you do?,I work as a/an + job.
How long have you been working?,I’ve been working here for about / more than / less than + [number] years.
How long have you been working?,I started working at [company] [number] years ago.
How long have you been working?,I’m a new employee. / I’ve just started.
How do you feel about your job?,I love / like it (so much) because ...
How do you feel about your job?,I’m satisfied with my job. It’s okay for now.
How do you feel about your job?,I dislike it. [Explain why].
How do you feel about your job?,I hate it. [Explain why].
