word,wordType,pronunciation,meaning,imageLink,copyright,example
Meet,verb,/miːt/,Gặp gỡ,https://cdn.pixabay.com/photo/2019/05/08/07/45/friends-4187953_960_720.png,Pixabay,I met her in Hawaii.
Holiday ,noun,ˈhɑː.lə.deɪ/,Kì nghỉ ,https://image.freepik.com/free-photo/relax-couple-lay-down-beach-chiar-with-sea-wave-man-woman-have-vacation-sea-nature-concept_1150-13745.jpg,Freepik,Have you decided where you're going for your holiday(s) this year?
Spell,verb,/spel/,Đánh vần ,https://image.freepik.com/free-photo/words-letter-made-with-wooden-cubes-brown-desk_23-2148101481.jpg,Freepik,"Could you spell your name again, please?"
Australia ,noun,/ɑːˈstreɪl.jə/,Nước Úc ,https://image.freepik.com/free-photo/australian-flag-map_118047-625.jpg,Freepik,
Peace ,noun ,/piːs/,Tạm biệt ,https://image.freepik.com/free-photo/woman-waving-bye-delivery-man_23-2147862243.jpg,Freepik,
Matey ,adjective,/ˈmeɪ.t̬i/,Bạn thân mến ,https://img.freepik.com/free-photo/smiling-young-men-with-their-arms-around-pointing-fingers-each-other_23-2148160168.jpg?size=626&ext=jpg,Freepik,
Stay ,verb,/steɪ/,Ở lại ,https://img.freepik.com/free-photo/young-woman-staying-sofa-working-laptop_23-2148304885.jpg?size=626&ext=jpg,Freepik,Stay until the rain has stopped.
Business card ,noun,/ˈbɪz.nɪs ˌkɑːrd/,Danh thiếp,https://image.freepik.com/free-photo/businesswoman-presenting-business-card_23-2148002550.jpg,Freepik,Do you have a business card?
Employee ,noun,/ɪmˈplɔɪ.iː/,Nhân viên ,https://image.freepik.com/free-photo/group-businesspeople-looking-business-plan-office_23-2147899904.jpg,Freepik,The police want to interview every employee about the theft.
Live ,verb,/lɪv/,Sống ,https://image.freepik.com/free-photo/happy-couple-holding-cardboard-boxes-moving-new-place_1153-3813.jpg,Freepik,All animals have to eat in order to live.
Same here. ,,/seɪm hɪr/,Tôi cũng vậy ,https://img.freepik.com/free-photo/girl-with-me-too-equality-gender-sign_23-2148405266.jpg?size=338&ext=jpg,Freepik,
Expert ,noun, /ˈek.spɝːt/,Chuyên gia ,https://img.freepik.com/free-photo/senior-business-man-giving-lecture_1262-782.jpg?size=626&ext=jpg,Freepik,My mother is an expert at dress-making
Doctor,noun,/ˈdɑːk.tɚ/,Bác sĩ ,https://image.freepik.com/free-photo/group-surgeons-doing-operation-hospital_110955-657.jpg,Freepik,When did you last visit the doctor?
Foot doctor ,noun,/fʊt ˈdɑːk.tɚ/,Bác sĩ chân ,https://image.freepik.com/free-photo/beautiful-young-girl-beauty-salon_1157-21117.jpg,Freepik,Are you a doctor?
Tailor ,noun, /ˈteɪ.lɚ/,Thợ may ,https://img.freepik.com/free-photo/senior-male-fashion-designer-taking-measurement-fabric-wooden-table_23-2148180313.jpg?size=626&ext=jpg,Freepik,I also work as a tailor
Look beat ,,/lʊk biːt/,Trông mệt mỏi ,https://image.freepik.com/free-photo/stressed-male-massaging-nose-bridge-suffering-from-headache_1163-3988.jpg,Freepik,"You look beat, what’s wrong?"
